Batchnumber,D loss,Dec loss,G loss,ber loss
0,0.691779613494873,0.6931463479995728,0.694593608379364,tensor([0.4989])
1,0.6914640069007874,0.6931471824645996,0.694496214389801,tensor([0.5004])
2,0.6908320784568787,0.6931459903717041,0.6946737170219421,tensor([0.4985])
3,0.6903246641159058,0.6931492686271667,0.6945321559906006,tensor([0.5027])
4,0.6895950436592102,0.693145751953125,0.694449782371521,tensor([0.4974])
5,0.6884676814079285,0.6931480765342712,0.6945353746414185,tensor([0.5012])
6,0.6870197057723999,0.693146824836731,0.6945345997810364,tensor([0.4996])
7,0.6850199699401855,0.6931471228599548,0.6945191621780396,tensor([0.4967])
8,0.6833537817001343,0.6931477785110474,0.6944167613983154,tensor([0.5038])
9,0.6800546646118164,0.6931465268135071,0.6945533156394958,tensor([0.4952])
10,0.6761044263839722,0.6931471824645996,0.6946542263031006,tensor([0.5005])
11,0.6734595894813538,0.6931452751159668,0.6944674849510193,tensor([0.4924])
12,0.6690110564231873,0.6931464672088623,0.6944601535797119,tensor([0.4980])
13,0.6633320450782776,0.6931463479995728,0.6945378184318542,tensor([0.4980])
14,0.6601272821426392,0.693148136138916,0.6944577097892761,tensor([0.5023])
15,0.6543939709663391,0.693149209022522,0.6946313381195068,tensor([0.5078])
16,0.6509169936180115,0.6931455135345459,0.6945615410804749,tensor([0.4938])
17,0.6480158567428589,0.6931477785110474,0.6945044994354248,tensor([0.5016])
18,0.6446146368980408,0.6931461691856384,0.6945320963859558,tensor([0.4968])
19,0.6420691013336182,0.6931484937667847,0.6944229602813721,tensor([0.5037])
20,0.6404281854629517,0.693146824836731,0.6944365501403809,tensor([0.4992])
21,0.6377155184745789,0.6931470036506653,0.6944806575775146,tensor([0.4990])
22,0.6350468993186951,0.693146824836731,0.6945620179176331,tensor([0.4990])
23,0.6351569890975952,0.6931443214416504,0.6945975422859192,tensor([0.4935])
24,0.6361029148101807,0.6931471824645996,0.694411039352417,tensor([0.5000])
25,0.6326344013214111,0.693145751953125,0.6946603059768677,tensor([0.4974])
26,0.6322958469390869,0.6931490302085876,0.6944766044616699,tensor([0.5033])
27,0.6320046782493591,0.6931475400924683,0.6945586204528809,tensor([0.5009])
28,0.6303243637084961,0.693149209022522,0.6944080591201782,tensor([0.5057])
29,0.6313998699188232,0.6931482553482056,0.6944152116775513,tensor([0.5051])
30,0.6304728984832764,0.6931474208831787,0.6945721507072449,tensor([0.5034])
31,0.6299942135810852,0.6931471824645996,0.6943267583847046,tensor([0.4985])
32,0.6294271945953369,0.6931470036506653,0.6944347023963928,tensor([0.4982])
33,0.628878116607666,0.6931469440460205,0.6944738626480103,tensor([0.4940])
34,0.6276856064796448,0.6931468844413757,0.6946492195129395,tensor([0.4989])
35,0.6296968460083008,0.6931477785110474,0.6944565773010254,tensor([0.5044])
36,0.6281237602233887,0.6931467056274414,0.6946604251861572,tensor([0.4979])
37,0.6274389624595642,0.6931460499763489,0.6945751309394836,tensor([0.4937])
38,0.6274997591972351,0.6931470036506653,0.6943936347961426,tensor([0.4984])
39,0.6283557415008545,0.6931483745574951,0.6944077610969543,tensor([0.5012])
40,0.6283150315284729,0.6931455135345459,0.6944236159324646,tensor([0.4984])
41,0.6280345916748047,0.6931487917900085,0.6943264603614807,tensor([0.5008])
42,0.62704998254776,0.6931445598602295,0.6944134831428528,tensor([0.4979])
43,0.6274938583374023,0.6931470632553101,0.6944461464881897,tensor([0.4936])
44,0.6266469955444336,0.6931484937667847,0.6943667531013489,tensor([0.5037])
45,0.6256167888641357,0.6931470632553101,0.6945847272872925,tensor([0.4995])
46,0.6248823404312134,0.6931461691856384,0.6945807337760925,tensor([0.4972])
47,0.6266447305679321,0.693148136138916,0.6943713426589966,tensor([0.5028])
48,0.6248899698257446,0.6931444406509399,0.69460129737854,tensor([0.4930])
49,0.6240788102149963,0.6931502223014832,0.694534420967102,tensor([0.5078])
50,0.6248444318771362,0.6931467652320862,0.6946248412132263,tensor([0.4987])
51,0.6248359680175781,0.693146824836731,0.6944974660873413,tensor([0.4988])
52,0.625847339630127,0.6931476593017578,0.6942736506462097,tensor([0.5011])
53,0.6252274513244629,0.6931459307670593,0.6945553421974182,tensor([0.4966])
54,0.6247378587722778,0.6931477785110474,0.6943241357803345,tensor([0.5016])
55,0.6231785416603088,0.6931489706039429,0.6944438815116882,tensor([0.5059])
56,0.6240401268005371,0.6931478977203369,0.6944572925567627,tensor([0.5042])
57,0.6236898899078369,0.6931464672088623,0.694555938243866,tensor([0.4953])
58,0.6234739422798157,0.6931464076042175,0.6946004033088684,tensor([0.4969])
59,0.6236088275909424,0.6931471824645996,0.6943883895874023,tensor([0.4999])
60,0.6238950490951538,0.6931476593017578,0.6942873001098633,tensor([0.5018])
61,0.6229182481765747,0.6931483149528503,0.6943538188934326,tensor([0.5067])
62,0.6232563853263855,0.6931472420692444,0.6944424510002136,tensor([0.5026])
63,0.6218798160552979,0.6931471228599548,0.6946004033088684,tensor([0.4970])
64,0.6222549080848694,0.6931471824645996,0.6944745182991028,tensor([0.5001])
65,0.6221546530723572,0.6931467056274414,0.6944310665130615,tensor([0.4960])
66,0.6214507818222046,0.693146824836731,0.6945289969444275,tensor([0.4984])
67,0.622268795967102,0.6931463479995728,0.6944999694824219,tensor([0.4969])
68,0.6214653253555298,0.6931469440460205,0.6944923996925354,tensor([0.4993])
69,0.6207281351089478,0.6931489706039429,0.6944973468780518,tensor([0.5082])
70,0.6229981780052185,0.6931471824645996,0.6943933367729187,tensor([0.4985])
71,0.6227784156799316,0.6931474208831787,0.6943496465682983,tensor([0.5018])
72,0.6216240525245667,0.6931471824645996,0.6944162249565125,tensor([0.4995])
73,0.6204442977905273,0.693146288394928,0.6944609880447388,tensor([0.4946])
74,0.6209409236907959,0.6931462287902832,0.694527804851532,tensor([0.4968])
75,0.6215227842330933,0.6931478977203369,0.6943475008010864,tensor([0.5021])
76,0.6226881146430969,0.6931447386741638,0.6942497491836548,tensor([0.4935])
77,0.6208332777023315,0.6931473016738892,0.6943346261978149,tensor([0.5003])
78,0.6201485991477966,0.6931458711624146,0.6945971846580505,tensor([0.4971])
79,0.621490478515625,0.693145215511322,0.6944026947021484,tensor([0.4964])
80,0.6205926537513733,0.6931478381156921,0.6944365501403809,tensor([0.5009])
81,0.6199097633361816,0.6931451559066772,0.6945053935050964,tensor([0.4967])
82,0.6193000078201294,0.6931501626968384,0.694532036781311,tensor([0.5047])
83,0.6189543008804321,0.6931474804878235,0.694486677646637,tensor([0.5005])
84,0.6218851208686829,0.6931412220001221,0.6944208741188049,tensor([0.4909])
85,0.6207631826400757,0.6931513547897339,0.694459080696106,tensor([0.5057])
86,0.6200664639472961,0.693145751953125,0.6944292187690735,tensor([0.4977])
87,0.6189353466033936,0.6931467056274414,0.6945735216140747,tensor([0.4993])
88,0.6185793280601501,0.6931440830230713,0.6945347189903259,tensor([0.4958])
89,0.6192256212234497,0.6931493282318115,0.6944596767425537,tensor([0.5026])
90,0.6195788383483887,0.6931460499763489,0.6944711804389954,tensor([0.4984])
91,0.6190521717071533,0.693145215511322,0.6944747567176819,tensor([0.4974])
92,0.6182627081871033,0.6931487321853638,0.6944994330406189,tensor([0.5018])
93,0.6181901693344116,0.693148136138916,0.6945281624794006,tensor([0.5011])
94,0.6182284355163574,0.6931466460227966,0.6946575045585632,tensor([0.4993])
95,0.6188342571258545,0.693143904209137,0.6944339275360107,tensor([0.4960])
96,0.6192852258682251,0.6931471824645996,0.6944952607154846,tensor([0.4999])
97,0.6188785433769226,0.6931464672088623,0.6943796873092651,tensor([0.4991])
98,0.6182329654693604,0.6931438446044922,0.6945304870605469,tensor([0.4963])
99,0.6186953186988831,0.6931459307670593,0.694377064704895,tensor([0.4987])
100,0.618330717086792,0.6931487321853638,0.6944388747215271,tensor([0.5013])
101,0.6170645356178284,0.6931465864181519,0.6945677399635315,tensor([0.4993])
102,0.617745578289032,0.6931366920471191,0.6945260763168335,tensor([0.4908])
103,0.6181290149688721,0.6931478977203369,0.694449245929718,tensor([0.5004])
104,0.6189552545547485,0.69315105676651,0.6943545341491699,tensor([0.5029])
105,0.6176186800003052,0.6931391358375549,0.694342315196991,tensor([0.4936])
106,0.6189354658126831,0.6931445598602295,0.6943310499191284,tensor([0.4979])
107,0.6175342798233032,0.693138837814331,0.6944687962532043,tensor([0.4943])
108,0.6177588105201721,0.6931488513946533,0.6943926215171814,tensor([0.5009])
109,0.6181116104125977,0.6931463479995728,0.6943349838256836,tensor([0.4992])
110,0.6173938512802124,0.6931421756744385,0.6944152116775513,tensor([0.4968])
111,0.6175545454025269,0.6931531429290771,0.6944046020507812,tensor([0.5034])
112,0.6184208989143372,0.6931372284889221,0.6944690942764282,tensor([0.4938])
113,0.617368221282959,0.6931494474411011,0.6943959593772888,tensor([0.5011])
114,0.6171582937240601,0.6931445598602295,0.6945057511329651,tensor([0.4983])
115,0.6167160868644714,0.6931501626968384,0.6944177746772766,tensor([0.5015])
116,0.6174986362457275,0.6931478977203369,0.6944270133972168,tensor([0.5002])
117,0.6172059178352356,0.6931519508361816,0.6944612860679626,tensor([0.5028])
118,0.6174198389053345,0.6931443214416504,0.6943549513816833,tensor([0.4980])
119,0.6175571084022522,0.6931512355804443,0.694390594959259,tensor([0.5024])
120,0.6164669990539551,0.6931321620941162,0.6944162845611572,tensor([0.4907])
121,0.6158353090286255,0.6931633949279785,0.6946651935577393,tensor([0.5096])
122,0.6170921325683594,0.6931452751159668,0.6943147778511047,tensor([0.4985])
123,0.6162505745887756,0.6931458711624146,0.6942561864852905,tensor([0.4989])
124,0.6151208877563477,0.6931440234184265,0.6944911479949951,tensor([0.4977])
125,0.6175864934921265,0.693139910697937,0.6944570541381836,tensor([0.4954])
126,0.6157745122909546,0.6931538581848145,0.6944690346717834,tensor([0.5038])
